Date,Time,vRMS(mm/s),aRMS(g),aPeak(g),Temperature(℃)
2024-09-12,16:32:38,86,0.5,1.7,31
2024-09-12,16:32:38,86,0.5,1.7,31
2024-09-12,16:32:38,89,0.5,1.7,31
2024-09-12,16:32:38,89,0.5,1.7,31
2024-09-12,16:32:38,88,0.5,1.7,31
2024-09-12,16:32:38,88,0.5,1.7,31
2024-09-12,16:32:38,90,0.5,1.7,31
2024-09-12,16:32:38,90,0.5,1.7,31
2024-09-12,16:32:38,90,0.49,1.7,31
2024-09-12,16:32:38,90,0.49,1.7,31
2024-09-12,16:32:38,92,0.51,1.7,31
2024-09-12,16:32:38,92,0.51,1.7,31
2024-09-12,16:32:38,92,0.5,1.7,31
2024-09-12,16:32:38,92,0.5,1.7,31
2024-09-12,16:32:38,95,0.53,1.7,31
2024-09-12,16:32:38,95,0.53,1.7,31
2024-09-12,16:32:38,95,0.53,1.7,31
2024-09-12,16:32:38,98,0.54,1.7,31
2024-09-12,16:32:38,98,0.54,1.7,31
2024-09-12,16:32:38,120,0.72,1.7,31
2024-09-12,16:32:38,120,0.72,1.7,31
2024-09-12,16:32:38,124,0.72,1.7,31
2024-09-12,16:32:38,124,0.72,1.7,31
2024-09-12,16:32:38,137,0.81,1.7,31
2024-09-12,16:32:39,137,0.81,1.7,31
2024-09-12,16:32:39,137,0.81,1.7,31
2024-09-12,16:32:39,141,0.8,1.7,31
2024-09-12,16:32:39,151,0.87,1.7,31
2024-09-12,16:32:39,151,0.87,1.7,31
2024-09-12,16:32:39,151,0.87,1.7,31
2024-09-12,16:32:39,154,0.87,1.7,31
2024-09-12,16:32:39,154,0.87,1.7,31
2024-09-12,16:32:39,161,0.9,1.7,31
2024-09-12,16:32:39,161,0.9,1.7,31
2024-09-12,16:32:39,161,0.9,1.7,31
2024-09-12,16:32:39,162,0.9,1.7,31
2024-09-12,16:32:39,165,0.93,1.7,31
2024-09-12,16:32:39,165,0.93,1.7,31
2024-09-12,16:32:39,165,0.93,1.7,31
2024-09-12,16:32:39,165,0.93,1.7,31
2024-09-12,16:32:39,165,0.93,1.7,31
2024-09-12,16:32:39,168,0.93,1.7,31
2024-09-12,16:32:39,168,0.93,1.7,31
2024-09-12,16:32:39,185,1.1,1.7,31
2024-09-12,16:32:39,185,1.1,1.7,31
2024-09-12,16:32:39,185,1.09,6.44,31
2024-09-12,16:32:39,185,1.09,6.44,31
2024-09-12,16:32:39,189,1.11,6.44,31
2024-09-12,16:32:39,189,1.11,6.44,31
2024-09-12,16:32:39,188,1.09,6.44,31
2024-09-12,16:32:39,188,1.09,6.44,31
2024-09-12,16:32:39,192,1.1,6.44,31
2024-09-12,16:32:40,192,1.1,6.44,31
2024-09-12,16:32:40,191,1.1,6.44,31
2024-09-12,16:32:40,191,1.1,6.44,31
2024-09-12,16:32:40,191,1.1,6.44,31
2024-09-12,16:32:40,191,1.1,6.44,31
2024-09-12,16:32:40,191,1.1,6.44,31
2024-09-12,16:32:40,193,1.1,6.44,31
2024-09-12,16:32:40,192,1.09,6.44,31
2024-09-12,16:32:40,192,1.09,6.44,31
2024-09-12,16:32:40,192,1.09,6.44,31
2024-09-12,16:32:40,192,1.09,6.44,31
2024-09-12,16:32:40,194,1.09,6.44,31
2024-09-12,16:32:40,194,1.09,6.44,31
2024-09-12,16:32:40,201,1.13,6.44,31
2024-09-12,16:32:40,201,1.13,6.44,31
2024-09-12,16:32:40,200,1.12,6.44,31
2024-09-12,16:32:40,200,1.12,6.44,31
2024-09-12,16:32:40,200,1.12,6.44,31
2024-09-12,16:32:40,198,1.1,6.44,31
2024-09-12,16:32:40,198,1.1,6.44,31
2024-09-12,16:32:40,198,1.1,6.44,31
2024-09-12,16:32:40,195,1.08,2.9,31
2024-09-12,16:32:40,191,1.06,2.9,31
2024-09-12,16:32:40,191,1.06,2.9,31
2024-09-12,16:32:40,188,1.04,2.9,31
2024-09-12,16:32:40,188,1.04,2.9,31
2024-09-12,16:32:40,204,1.32,2.9,31
2024-09-12,16:32:41,204,1.32,2.9,31
2024-09-12,16:32:41,221,1.36,2.9,31
2024-09-12,16:32:41,221,1.36,2.9,31
2024-09-12,16:32:41,222,1.35,2.9,31
2024-09-12,16:32:41,222,1.35,2.9,31
2024-09-12,16:32:41,219,1.33,2.9,31
2024-09-12,16:32:41,219,1.33,2.9,31
2024-09-12,16:32:41,219,1.33,2.9,31
2024-09-12,16:32:41,215,1.3,2.9,31
2024-09-12,16:32:41,215,1.3,2.9,31
2024-09-12,16:32:41,211,1.28,2.9,31
2024-09-12,16:32:41,211,1.28,2.9,31
2024-09-12,16:32:41,207,1.25,2.9,31
2024-09-12,16:32:41,207,1.25,2.9,31
2024-09-12,16:32:41,203,1.22,2.9,31
2024-09-12,16:32:41,203,1.22,2.9,31
2024-09-12,16:32:41,200,1.2,2.9,31
2024-09-12,16:32:41,196,1.18,2.9,31
2024-09-12,16:32:41,196,1.18,2.9,31
2024-09-12,16:32:41,196,1.18,2.9,31
2024-09-12,16:32:41,193,1.16,7.79,31
2024-09-12,16:32:41,193,1.16,7.79,31
2024-09-12,16:32:41,190,1.13,7.79,31
2024-09-12,16:32:41,190,1.13,7.79,31
2024-09-12,16:32:41,187,1.11,7.79,31
2024-09-12,16:32:41,187,1.11,7.79,31
2024-09-12,16:32:42,187,1.11,7.79,31
2024-09-12,16:32:42,187,1.11,7.79,31
2024-09-12,16:32:42,184,1.09,7.79,31
2024-09-12,16:32:42,184,1.09,7.79,31
2024-09-12,16:32:42,184,1.09,7.79,31
2024-09-12,16:32:42,180,1.07,7.79,31
2024-09-12,16:32:42,180,1.07,7.79,31
2024-09-12,16:32:42,176,1.04,7.79,31
2024-09-12,16:32:42,176,1.04,7.79,31
2024-09-12,16:32:42,173,1.02,7.79,31
2024-09-12,16:32:42,173,1.02,7.79,31
2024-09-12,16:32:42,170,1,7.79,31
2024-09-12,16:32:42,170,1,7.79,31
2024-09-12,16:32:42,167,0.99,7.79,31
2024-09-12,16:32:42,167,0.99,7.79,31
2024-09-12,16:32:42,178,1.22,7.79,31
2024-09-12,16:32:42,178,1.22,7.79,31
2024-09-12,16:32:42,189,1.27,7.79,31
2024-09-12,16:32:42,189,1.25,7.79,31
2024-09-12,16:32:42,189,1.25,7.79,31
2024-09-12,16:32:42,189,1.25,7.79,31
2024-09-12,16:32:42,186,1.23,7.79,31
2024-09-12,16:32:42,186,1.23,7.79,31
2024-09-12,16:32:42,186,1.23,7.79,31
2024-09-12,16:32:42,186,1.23,7.79,31
2024-09-12,16:32:42,183,1.21,7.83,31
2024-09-12,16:32:42,183,1.21,7.83,31
2024-09-12,16:32:43,179,1.18,7.83,31
2024-09-12,16:32:43,179,1.18,7.83,31
2024-09-12,16:32:43,176,1.15,7.83,31
2024-09-12,16:32:43,176,1.15,7.83,31
2024-09-12,16:32:43,173,1.13,7.83,31
2024-09-12,16:32:43,173,1.13,7.83,31
2024-09-12,16:32:43,170,1.11,7.83,31
2024-09-12,16:32:43,170,1.11,7.83,31
2024-09-12,16:32:43,170,1.11,7.83,31
2024-09-12,16:32:43,167,1.09,7.83,31
2024-09-12,16:32:43,167,1.09,7.83,31
2024-09-12,16:32:43,164,1.07,7.83,31
2024-09-12,16:32:43,164,1.07,7.83,31
2024-09-12,16:32:43,161,1.05,7.83,31
2024-09-12,16:32:43,161,1.05,7.83,31
2024-09-12,16:32:43,159,1.03,7.83,31
2024-09-12,16:32:43,159,1.03,7.83,31
2024-09-12,16:32:43,159,1.03,7.83,31
2024-09-12,16:32:43,156,1.01,7.83,31
2024-09-12,16:32:43,156,1.01,7.83,31
2024-09-12,16:32:43,156,1.01,7.83,31
2024-09-12,16:32:43,156,1.01,7.83,31
